candidate_id,rank,score,reasoning
CAND_0010541,74,0.715931,"Career history at Wysa shows strong alignment with the role's core requirements (career-context fit 0.62). holds real depth in Pinecone, Weaviate. 6.2 years of experience."
CAND_0081852,75,0.715055,"Career history at Mad Street Den shows strong alignment with the role's core requirements (career-context fit 0.55). holds real depth in Milvus, Weaviate, LoRA. 5.9 years of experience."
CAND_0020350,76,0.714691,"Career history shows moderate alignment with the role (career-context fit 0.42). holds real depth in LoRA, PEFT, FAISS. 5.8 years of experience."
CAND_0011432,77,0.714573,"Career history shows moderate alignment with the role (career-context fit 0.48). holds real depth in OpenSearch, PEFT, QLoRA. 7.6 years of experience."
CAND_0074735,78,0.713691,"Career history at Rephrase.ai shows strong alignment with the role's core requirements (career-context fit 0.51). holds real depth in Weaviate, Learning to Rank, Elasticsearch. 5.5 years of experience."
CAND_0032807,79,0.713049,"Career history shows moderate alignment with the role (career-context fit 0.49). holds real depth in OpenSearch, Sentence Transformers, Milvus. 4.2 years of experience."
CAND_0040200,80,0.711997,"Career history at PharmEasy shows strong alignment with the role's core requirements (career-context fit 0.53). holds real depth in Weaviate, Milvus. 5.5 years of experience."
CAND_0060472,81,0.71159,"Career history at Paytm shows strong alignment with the role's core requirements (career-context fit 0.55). holds real depth in OpenSearch, Weaviate. 4.4 years of experience."
CAND_0051292,82,0.711104,"Career history at Freshworks shows strong alignment with the role's core requirements (career-context fit 0.58). holds real depth in FAISS, PEFT, Elasticsearch. 5.2 years of experience."
CAND_0076163,83,0.710143,"Career history at Ola shows strong alignment with the role's core requirements (career-context fit 0.55). holds real depth in Weaviate, Sentence Transformers, Elasticsearch. 6.9 years of experience."
CAND_0095528,84,0.710016,"Career history at Netflix shows strong alignment with the role's core requirements (career-context fit 0.52). holds real depth in OpenSearch, Qdrant, Elasticsearch. 5.3 years of experience."
CAND_0098217,85,0.709372,"Career history shows moderate alignment with the role (career-context fit 0.45). holds real depth in PEFT, Pinecone. 6.4 years of experience."
CAND_0064904,86,0.709183,"Career history at LinkedIn shows strong alignment with the role's core requirements (career-context fit 0.56). holds real depth in Elasticsearch, Weaviate, OpenSearch. 4.9 years of experience."
CAND_0060538,87,0.708846,"Career history at Verloop.io shows strong alignment with the role's core requirements (career-context fit 0.55). holds real depth in OpenSearch, Milvus. 5.2 years of experience."
CAND_0099806,88,0.704308,"Career history shows moderate alignment with the role (career-context fit 0.43). holds real depth in LoRA, FAISS, Sentence Transformers. 4.6 years of experience."
CAND_0093912,89,0.704277,"Career history at Razorpay shows strong alignment with the role's core requirements (career-context fit 0.56). holds real depth in Milvus, Learning to Rank, Elasticsearch. 5.3 years of experience."
CAND_0065514,90,0.701572,"Career history shows moderate alignment with the role (career-context fit 0.47). holds real depth in Pinecone, Elasticsearch. 6.6 years of experience."
CAND_0053695,91,0.699776,"Career history at Meesho shows strong alignment with the role's core requirements (career-context fit 0.55). holds real depth in Pinecone, Sentence Transformers. 5.8 years of experience."
CAND_0013613,92,0.6989,"Career history at Adobe shows strong alignment with the role's core requirements (career-context fit 0.53). holds real depth in LoRA, Weaviate, Sentence Transformers. 4.7 years of experience."
CAND_0017590,93,0.697498,"Career history at Genpact AI shows strong alignment with the role's core requirements (career-context fit 0.52). holds real depth in FAISS, Sentence Transformers. 5.1 years of experience."
CAND_0001707,94,0.696201,"Career history shows moderate alignment with the role (career-context fit 0.45). holds real depth in Sentence Transformers, FAISS, Weaviate. 5.6 years of experience."
CAND_0000031,95,0.695563,"Career history shows moderate alignment with the role (career-context fit 0.40). holds real depth in FAISS, Pinecone, Sentence Transformers. 6.0 years of experience."
CAND_0060835,96,0.694545,Career history at Sarvam AI shows strong alignment with the role's core requirements (career-context fit 0.54). holds real depth in FAISS. 6.6 years of experience.
CAND_0065878,97,0.693941,Career history at Niramai shows strong alignment with the role's core requirements (career-context fit 0.58). holds real depth in QLoRA. 7.8 years of experience.
CAND_0067041,98,0.692876,"Career history at Saarthi.ai shows strong alignment with the role's core requirements (career-context fit 0.54). holds real depth in Milvus, Learning to Rank, Elasticsearch. 6.9 years of experience. Note: a 120-day notice period."
CAND_0076251,99,0.692042,"Career history shows moderate alignment with the role (career-context fit 0.47). holds real depth in Weaviate, Learning to Rank, Elasticsearch. 7.6 years of experience."
CAND_0093883,100,0.690686,"Career history at Wysa shows strong alignment with the role's core requirements (career-context fit 0.60). holds real depth in LoRA, OpenSearch, Milvus. 5.0 years of experience."
